,Human Longitude,Human Latitude,Human Acres Burned
2061,-124.28595,43.26434,0.01
16885,-124.28583,43.36806,0.03
1272,-124.28569,43.37534,0.01
3443,-124.28549,43.25711,43.0
12878,-124.28528,43.38139,0.1
1856,-124.28523,43.3681,0.01
9824,-124.285,43.40444,3.02
8391,-124.28472,43.4125,0.01
13782,-124.28472,43.37889,0.1
5117,-124.28383,43.37167,0.01
8162,-124.28306,43.15611,0.2
6896,-124.28194,43.19556,0.01
14778,-124.28139,42.1225,14.5
1356,-124.28099,43.18669,0.01
2211,-124.2805,43.37189,0.01
16884,-124.27806,43.37944,0.01
376,-124.27758,43.42853,2.5
3713,-124.27735,43.42491,0.5
10868,-124.27694,42.06667,0.25
12996,-124.27694,43.26167,0.04
7574,-124.27694,43.4225,2.5
10646,-124.27583,43.20222,0.19
4885,-124.27417,42.04633,0.01
9907,-124.27389,43.20667,0.01
15417,-124.27361,43.34528,0.13
12774,-124.27333,42.84833,0.18
8390,-124.27306,43.13972,0.03
5874,-124.27231,43.10147,0.25
7491,-124.27167,42.04611,0.02
3932,-124.271,42.176,10.0
13061,-124.27,42.05222,0.01
9487,-124.26972,42.04444,0.01
16930,-124.26972,43.37583,0.01
10231,-124.26972,42.04444,0.01
13553,-124.26917,43.265,0.1
4927,-124.26867,42.04583,0.01
11523,-124.26833,43.26,0.01
9186,-124.26806,42.04389,0.01
1239,-124.26732,43.17523,0.06
15819,-124.26722,43.20944,0.01
7320,-124.26722,43.42528,0.01
2340,-124.26718,43.20817,0.25
189,-124.26607,43.21127,0.01
11252,-124.26583,42.49889,0.1
8363,-124.26583,43.33861,6.8
12111,-124.26528,43.33861,0.34
3094,-124.2651,42.06233,0.25
16274,-124.26361,42.04028,0.01
14532,-124.26347,43.33967,0.01
16888,-124.26333,43.37611,0.01
11800,-124.26333,42.04194,0.01
16200,-124.2625,43.33917,0.01
15071,-124.26222,43.21806,0.01
14361,-124.26194,42.03806,0.01
7435,-124.26111,43.24306,0.01
17190,-124.26111,43.4375,10.9
16318,-124.26056,43.43722,0.25
9978,-124.26028,42.03722,0.01
12629,-124.25972,43.37722,0.02
9334,-124.25889,43.37389,0.2
16369,-124.25861,43.28139,0.18
3131,-124.2578,42.0442,0.02
5352,-124.257,43.178,0.01
17191,-124.25667,43.4375,2.28
13397,-124.25581,42.60461,399.0
3679,-124.25571,42.8941,41.3
12481,-124.255,42.55639,0.0
2334,-124.25402,42.07521,0.5
3900,-124.25378,42.08246,1.0
4775,-124.2535,42.0605,0.05
11033,-124.25222,42.5675,0.01
5041,-124.252,43.21483,0.01
15873,-124.25167,43.37778,0.33
16337,-124.25158,43.37978,0.25
14756,-124.25097,42.83258,0.01
9335,-124.25056,43.37417,0.66
17128,-124.24972,43.13,0.5
13826,-124.24972,43.43694,0.42
17045,-124.24944,43.37833,0.12
3503,-124.24831,42.04963,0.04
2618,-124.24581,43.43557,2.0
5161,-124.24567,42.043,0.01
2370,-124.24534,43.33875,0.01
8643,-124.24528,43.37611,0.25
12550,-124.24389,43.15556,0.1
16310,-124.24361,42.07472,0.01
10626,-124.24333,43.34222,0.02
493,-124.24308,43.179,0.01
366,-124.2426,43.07419,0.54
10422,-124.24,43.29,0.01
13755,-124.23917,43.43111,0.5
7033,-124.23889,42.96611,0.6
11199,-124.23722,43.33444,0.01
