,Lightning Longitude,Lightning Latitude,Lightning Acres Burned
759,-123.53336,43.358,0.25
6176,-123.53333,42.95117,0.01
6169,-123.53233,43.14517,0.1
2900,-123.53222,43.67417,0.25
1971,-123.53167,42.60333,0.1
2191,-123.53139,42.25194,0.01
2197,-123.53139,42.25194,0.01
2737,-123.52944,43.28472,0.75
746,-123.52791,43.41979,4.0
3674,-123.52778,42.30833,3.0
4792,-123.52667,44.73028,0.01
1973,-123.526,42.53833,0.01
24,-123.52082,42.46747,0.1
1116,-123.51977,43.94514,0.5
3714,-123.51972,42.76972,9399.17
762,-123.51832,43.42661,0.5
765,-123.51832,43.42661,0.5
5273,-123.51808,42.1918,0.01
3698,-123.51806,42.72722,0.5
1231,-123.51749,45.9635,0.15
107,-123.51671,42.38341,0.1
1951,-123.51667,42.63333,0.5
1586,-123.51666,44.58333,0.01
1082,-123.5162,42.25925,0.01
5608,-123.51588,43.70825,12.86
2303,-123.51583,43.3875,0.01
4540,-123.515,43.52694,0.01
1892,-123.51467,43.93067,0.75
3663,-123.51389,42.73222,15362.0
339,-123.51276,42.57708,0.01
5047,-123.51192,42.37258,0.1
3059,-123.51056,42.52111,0.1
5311,-123.51008,42.18013,1.0
3636,-123.50917,42.32694,0.4
3668,-123.50917,43.02972,0.1
1962,-123.5085,42.555,0.1
313,-123.50787,42.57721,0.1
1623,-123.5075,43.78533,2.0
3671,-123.5075,42.5825,0.65
3715,-123.50694,42.56056,2.5
1285,-123.50622,42.3618,2.0
6168,-123.50467,43.01633,0.1
4565,-123.50444,42.34444,0.1
1757,-123.50433,42.95533,0.1
3690,-123.50306,42.76944,80.0
6183,-123.5025,42.95194,0.01
2216,-123.50222,42.52583,0.01
3705,-123.50111,42.72,0.25
4542,-123.50083,42.91972,0.25
3661,-123.50056,42.57083,0.1
1704,-123.5,44.72633,0.1
1205,-123.49811,44.74026,0.01
5919,-123.49777,42.2873,0.01
962,-123.4975,43.00459,0.01
3673,-123.49722,42.71917,0.25
255,-123.49719,42.39111,0.1
1299,-123.49717,42.28096,0.01
6166,-123.497,42.734,0.1
6056,-123.49633,42.67917,0.01
4538,-123.49583,43.99167,0.01
160,-123.49441,43.91636,0.0
5215,-123.49438,42.19095,1.25
5630,-123.49397,43.04508,0.5
731,-123.49355,43.08373,0.75
6178,-123.49333,43.03917,0.25
251,-123.49244,42.62761,0.1
2788,-123.49222,43.41333,0.25
5220,-123.49212,42.10564,0.01
6180,-123.49183,42.98783,0.1
3951,-123.49111,42.18889,0.02
953,-123.49078,44.78963,0.01
934,-123.49078,44.78963,1.5
6179,-123.49056,42.98,0.01
3556,-123.49056,43.03083,0.1
5544,-123.48972,44.67778,0.11
2797,-123.48917,44.34611,0.1
3954,-123.48861,42.515,0.01
2447,-123.48778,42.10694,0.01
6184,-123.48767,42.89567,0.1
5395,-123.48683,43.68389,0.25
6065,-123.48639,42.7025,0.1
4556,-123.48583,42.31583,0.1
2311,-123.48556,42.77861,0.01
2453,-123.48556,42.12583,3.75
3621,-123.48472,42.37806,0.1
6173,-123.484,42.78767,0.25
6190,-123.48389,42.98278,0.01
716,-123.48365,43.43009,1.5
3697,-123.48361,42.75278,112.0
227,-123.48272,42.67527,0.1
425,-123.48272,42.67527,68.0
208,-123.48267,42.58779,0.25
304,-123.48216,42.12724,0.01
289,-123.48199,42.55496,0.25
4784,-123.47972,45.93833,0.01
2872,-123.47806,42.08306,0.01
3664,-123.47806,42.6175,2298.0
2276,-123.47806,42.63556,1.0
3381,-123.47806,43.36111,0.01
6188,-123.47639,42.98917,0.25
3657,-123.47528,42.62972,10.0
3956,-123.47528,42.5725,0.1
3877,-123.47444,42.6075,0.1
1123,-123.47421,43.87284,0.1
6150,-123.4742,42.49025,0.01
3389,-123.47417,42.4025,2.0
2213,-123.47389,42.73167,0.4
2723,-123.4725,43.11556,0.01
386,-123.47214,42.38036,0.25
2448,-123.46972,42.35667,0.1
6186,-123.469,42.84983,0.01
4564,-123.46778,43.38972,0.01
162,-123.46774,43.05145,0.01
942,-123.46752,44.86788,0.01
2179,-123.4675,42.39861,0.25
2176,-123.46667,42.37611,0.01
2685,-123.46639,42.60167,0.1
2782,-123.465,43.39889,1.0
6140,-123.46448,42.62674,1.0
571,-123.46347,44.44946,0.25
2884,-123.46306,44.40639,0.01
5917,-123.46038,42.31787,0.1
5546,-123.45953,42.27663,0.01
5555,-123.45948,42.27344,0.3
2223,-123.45833,42.29306,0.1
2715,-123.45806,43.48361,0.25
